Date       AdjClose
7/7/14   93.489795
7/3/14   91.599929
7/2/14   91.064147
7/1/14   91.103107
6/30/14   90.528358
6/27/14   89.602913
6/26/14   88.550822
6/25/14   88.024776
6/24/14   87.946842
6/23/14   88.482631
6/20/14   88.560565
6/19/14   89.486011
6/18/14   89.797741
6/17/14   89.700327
6/16/14   89.817221
6/13/14   88.920999
6/12/14   89.904899
6/11/14   91.434324
6/10/14   91.814244
6/9/14   91.278455
6/6/14   89.840885
6/5/14   90.088594
6/4/14   89.736507
6/3/14   88.723383
6/2/14   87.486208
5/30/14   88.091577
5/29/14   88.422787
5/28/14   86.840481
5/27/14   87.06593
5/23/14   85.465527
5/22/14   84.510851
5/21/14   84.377257
5/20/14   84.154595
5/19/14   84.137894
5/16/14   83.152604
5/15/14   81.943255
5/14/14   82.646039
5/13/14   82.630736
5/12/14   82.501311
5/9/14   81.486798
5/8/14   81.827751
5/7/14   81.97387
5/6/14   82.261732
5/5/14   83.168195
5/2/14   82.008474
5/1/14   81.856243
4/30/14   81.663872
4/29/14   81.97387
4/28/14   82.217446
4/25/14   79.152052
4/24/14   78.57496
4/23/14   72.621327
4/22/14   73.583154
4/21/14   73.509807
4/17/14   72.647624
4/16/14   71.826956
4/15/14   71.681642
4/14/14   72.196458
4/11/14   71.909993
4/10/14   72.44557
4/9/14   73.392172
4/8/14   72.440034
4/7/14   72.444181
4/4/14   73.599762
4/3/14   74.564354
4/2/14   75.084706
4/1/14   74.960154
3/31/14   74.280645
3/28/14   74.297252
3/27/14   74.38029
3/26/14   74.70136
3/25/14   75.422383
3/24/14   74.619712
3/21/14   73.745068
3/20/14   73.167976
3/19/14   73.52226
3/18/14   73.541632
3/17/14   72.896728
3/14/14   72.613019
3/13/14   73.437841
3/12/14   74.262655
3/11/14   74.19069
3/10/14   73.475202
3/7/14   73.40878
3/6/14   73.451677
3/5/14   73.674492
3/4/14   73.519489
3/3/14   73.037888
2/28/14   72.827527
2/27/14   73.025434
2/26/14   71.597223
2/25/14   72.249052
2/24/14   73.008826
2/21/14   72.690521
2/20/14   73.507035
2/19/14   74.367836
2/18/14   75.560779
2/14/14   75.283995
2/13/14   75.344882
2/12/14   74.167165
2/11/14   74.1727
2/10/14   73.208108
2/7/14   71.919675
2/6/14   70.927404
2/5/14   70.516381
2/4/14   69.993622
2/3/14   68.994868
1/31/14   68.866928
1/30/14   68.754123
1/29/14   68.887566
1/28/14   69.678584
1/27/14   75.731617
1/24/14   75.122186
1/23/14   76.513003
1/22/14   75.870555
1/21/14   75.534887
1/17/14   74.379312
1/16/14   76.247499
1/15/14   76.675334
1/14/14   75.166209
1/13/14   73.699725
1/10/14   73.315905
1/9/14   73.808402
1/8/14   74.763132
1/7/14   74.292647
1/6/14   74.827786
1/3/14   74.421961
1/2/14   76.093418
12/31/13   77.178837
12/30/13   76.284638
12/27/13   77.050897
12/26/13   77.575037
12/24/13   78.093666
12/23/13   78.426587
12/20/13   75.52801
12/19/13   74.900697
12/18/13   75.768756
12/17/13   76.349298
12/16/13   76.694598
12/13/13   76.272258
12/12/13   77.112802
12/11/13   77.225607
12/10/13   77.802021
12/9/13   77.923084
12/6/13   77.041265
12/5/13   78.12531
12/4/13   77.726362
12/3/13   77.90795
12/2/13   75.832042
